,曲名,アーティスト名,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
156,第六感,Reol,26323,https://open.spotify.com/track/22sQUmLhT8umlEhQzDrzfJ,0.675,0.959,7,-1.754,1,0.0835,0.00893,8.48e-05,0.325,0.835,134.017,audio_features,22sQUmLhT8umlEhQzDrzfJ,spotify:track:22sQUmLhT8umlEhQzDrzfJ,https://api.spotify.com/v1/tracks/22sQUmLhT8umlEhQzDrzfJ,https://api.spotify.com/v1/audio-analysis/22sQUmLhT8umlEhQzDrzfJ,191625,4
157,WAVEBODY,JP THE WAVY,26283,https://open.spotify.com/track/2N2qxWPU60swo6fm1SnOgr,0.884,0.749,1,-6.019,1,0.133,0.0523,5.28e-05,0.139,0.859,87.479,audio_features,2N2qxWPU60swo6fm1SnOgr,spotify:track:2N2qxWPU60swo6fm1SnOgr,https://api.spotify.com/v1/tracks/2N2qxWPU60swo6fm1SnOgr,https://api.spotify.com/v1/audio-analysis/2N2qxWPU60swo6fm1SnOgr,184507,4
158,カイト,ARASHI,26282,https://open.spotify.com/track/5lo3L98nR2VpN2dM9UFJu0,0.469,0.477,1,-6.458,1,0.0305,0.666,0.0,0.734,0.558,177.882,audio_features,5lo3L98nR2VpN2dM9UFJu0,spotify:track:5lo3L98nR2VpN2dM9UFJu0,https://api.spotify.com/v1/tracks/5lo3L98nR2VpN2dM9UFJu0,https://api.spotify.com/v1/audio-analysis/5lo3L98nR2VpN2dM9UFJu0,283400,4
159,Beggin',Måneskin,26247,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,audio_features,3Wrjm47oTz2sjIgck11l5e,spotify:track:3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560,4
160,キンモクセイ,オレンジスパイニクラブ,26143,https://open.spotify.com/track/2yXTuH22VMVjFME060zJRv,0.544,0.761,5,-3.936,1,0.0362,0.092,0.0,0.18,0.322,105.035,audio_features,2yXTuH22VMVjFME060zJRv,spotify:track:2yXTuH22VMVjFME060zJRv,https://api.spotify.com/v1/tracks/2yXTuH22VMVjFME060zJRv,https://api.spotify.com/v1/audio-analysis/2yXTuH22VMVjFME060zJRv,231933,4
161,Poppin' Shakin',NiziU,26130,https://open.spotify.com/track/0jfFu1W96AlrsMqXSZZlSt,0.781,0.865,4,-5.218,1,0.0798,0.0921,0.0169,0.0879,0.746,123.986,audio_features,0jfFu1W96AlrsMqXSZZlSt,spotify:track:0jfFu1W96AlrsMqXSZZlSt,https://api.spotify.com/v1/tracks/0jfFu1W96AlrsMqXSZZlSt,https://api.spotify.com/v1/audio-analysis/0jfFu1W96AlrsMqXSZZlSt,192754,4
162,Your eyes tell,BTS,26105,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz,0.449,0.491,9,-6.433,0,0.029,0.279,0.0,0.0654,0.258,139.923,audio_features,3TZ7NHkMT82AhwuYsd00Hz,spotify:track:3TZ7NHkMT82AhwuYsd00Hz,https://api.spotify.com/v1/tracks/3TZ7NHkMT82AhwuYsd00Hz,https://api.spotify.com/v1/audio-analysis/3TZ7NHkMT82AhwuYsd00Hz,245147,4
163,Beautiful World,Tomohisa Yamashita,26050,https://open.spotify.com/track/4P2UCrJwyPcQ3NTx50wcWt,0.685,0.762,5,-6.512,0,0.0591,0.0388,1.18e-05,0.116,0.153,105.969,audio_features,4P2UCrJwyPcQ3NTx50wcWt,spotify:track:4P2UCrJwyPcQ3NTx50wcWt,https://api.spotify.com/v1/tracks/4P2UCrJwyPcQ3NTx50wcWt,https://api.spotify.com/v1/audio-analysis/4P2UCrJwyPcQ3NTx50wcWt,242307,4
164,さよならエレジー,Masaki Suda,26046,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI,0.466,0.934,1,-2.736,1,0.0539,0.00331,0.0,0.277,0.615,154.961,audio_features,3oYD2O31b05fILFpv0AXRI,spotify:track:3oYD2O31b05fILFpv0AXRI,https://api.spotify.com/v1/tracks/3oYD2O31b05fILFpv0AXRI,https://api.spotify.com/v1/audio-analysis/3oYD2O31b05fILFpv0AXRI,257067,4
165,小さな恋のうた,MONGOL800,26026,https://open.spotify.com/track/23atyJacJVHvB9RHBNhr35,0.403,0.778,11,-4.856,1,0.0395,0.00203,0.0,0.227,0.628,115.581,audio_features,23atyJacJVHvB9RHBNhr35,spotify:track:23atyJacJVHvB9RHBNhr35,https://api.spotify.com/v1/tracks/23atyJacJVHvB9RHBNhr35,https://api.spotify.com/v1/audio-analysis/23atyJacJVHvB9RHBNhr35,222640,4
